column1	column2	column1_stemmed	column2_stemmed	column1_lemmatized	column2_lemmatized
ask clerk.	will.	ask clerk.	will.	ask clerk.	will.
will.	oh, look. here's shirt like it.	will.	oh, look. here's shirt like it.	will.	oh, look. here's shirt like it.
oh, look. here's shirt like it.	price tag?	oh, look. here's shirt like it.	price tag?	oh, look. here's shirt like it.	price tag?
price tag?	yes, does. it's $20.	price tag?	yes, does. it's $20.	price tag?	yes, does. it's $20.
yes, does. it's $20.	that's great price.	yes, does. it's $20.	that's great price.	yes, does. it's $20.	that's great price.
that's great price.	think i'll buy them.	that's great price.	think i'll buy them.	that's great price.	think i'll buy them.
think i'll buy them.	you'd better try first.	think i'll buy them.	you'd better try first.	think i'll buy them.	you'd better try first.
bought pair pants.	thank you.	bought pair pants.	thank you.	bought pair pants.	thank you.
thank you.	hope fit.	thank you.	hope fit.	thank you.	hope fit.
hope fit.	hope kept receipt.	hope fit.	hope kept receipt.	hope fit.	hope kept receipt.
hope kept receipt.	think won't fit?	hope kept receipt.	think won't fit?	hope kept receipt.	think won't fit?
think won't fit?	think i've weight.	think won't fit?	think i've weight.	think won't fit?	think i've weight.
think i've weight.	think?	think i've weight.	think?	think i've weight.	think?
think?	maybe pound two.	think?	maybe pound two.	think?	maybe pound two.
maybe pound two.	maybe pounds?	maybe pound two.	maybe pounds?	maybe pound two.	maybe pounds?
maybe pounds?	waist bigger was.	maybe pounds?	waist bigger was.	maybe pounds?	waist bigger was.
waist bigger was.	problem. pants elastic waistband.	waist bigger was.	problem. pants elastic waistband.	waist bigger was.	problem. pants elastic waistband.
problem. pants elastic waistband.	smart!	problem. pants elastic waistband.	smart!	problem. pants elastic waistband.	smart!
need buy?	let look list.	need buy?	let look list.	need buy?	let look list.
let look list.	know need milk.	let look list.	know need milk.	let look list.	know need milk.
know need milk.	nonfat.	know need milk.	nonfat.	know need milk.	nonfat.
nonfat.	course. else?	nonfat.	course. else?	nonfat.	course. else?
course. else?	need cheese, bread, ham.	course. else?	need cheese, bread, ham.	course. else?	need cheese, bread, ham.
need cheese, bread, ham.	kind cheese?	need cheese, bread, ham.	kind cheese?	need cheese, bread, ham.	kind cheese?
kind cheese?	swiss.	kind cheese?	swiss.	kind cheese?	swiss.
swiss.	course, cheese holes it.	swiss.	course, cheese holes it.	swiss.	course, cheese holes it.
course, cheese holes it.	buy swiss cheese.	course, cheese holes it.	buy swiss cheese.	course, cheese holes it.	buy swiss cheese.
buy swiss cheese.	not?	buy swiss cheese.	not?	buy swiss cheese.	not?
not?	didn't want pay holes.	not?	didn't want pay holes.	not?	didn't want pay holes.
need pants.	thought bought pair.	need pants.	thought bought pair.	need pants.	thought bought pair.
thought bought pair.	did.	thought bought pair.	did.	thought bought pair.	did.
did.	what's wrong soon?	did.	what's wrong soon?	did.	what's wrong soon?
what's wrong soon?	pants fine, pocket huge hole it.	what's wrong soon?	pants fine, pocket huge hole it.	what's wrong soon?	pants fine, pocket huge hole it.
pants fine, pocket huge hole it.	shouldn't carry keys pens pocket.	pants fine, pocket huge hole it.	shouldn't carry keys pens pocket.	pants fine, pocket huge hole it.	shouldn't carry keys pens pocket.
shouldn't carry keys pens pocket.	that's pockets for.	shouldn't carry keys pens pocket.	that's pockets for.	shouldn't carry keys pens pocket.	that's pockets for.
that's pockets for.	carry purse.	that's pockets for.	carry purse.	that's pockets for.	carry purse.
carry purse.	i'm man, men don't carry purses!	carry purse.	i'm man, men don't carry purses!	carry purse.	i'm man, men don't carry purses!
i'm man, men don't carry purses!	well, buy pants stronger pockets.	i'm man, men don't carry purses!	well, buy pants stronger pockets.	i'm man, men don't carry purses!	well, buy pants stronger pockets.
well, buy pants stronger pockets.	find makes strong pockets.	well, buy pants stronger pockets.	find makes strong pockets.	well, buy pants stronger pockets.	find makes strong pockets.
find makes strong pockets.	try google search online.	find makes strong pockets.	try google search online.	find makes strong pockets.	try google search online.
wipes for?	use wipe handle shopping cart.	wipes for?	use wipe handle shopping cart.	wipes for?	use wipe handle shopping cart.
use wipe handle shopping cart.	that's great idea.	use wipe handle shopping cart.	that's great idea.	use wipe handle shopping cart.	that's great idea.
that's great idea.	yes, markets started offering wipes shoppers.	that's great idea.	yes, markets started offering wipes shoppers.	that's great idea.	yes, markets started offering wipes shoppers.
yes, markets started offering wipes shoppers.	i'm going wipes.	yes, markets started offering wipes shoppers.	i'm going wipes.	yes, markets started offering wipes shoppers.	i'm going wipes.
i'm going wipes.	need for?	i'm going wipes.	need for?	i'm going wipes.	need for?
need for?	wipe handle, wipe produce.	need for?	wipe handle, wipe produce.	need for?	wipe handle, wipe produce.
wipe handle, wipe produce.	what's matter produce?	wipe handle, wipe produce.	what's matter produce?	wipe handle, wipe produce.	what's matter produce?
what's matter produce?	think bananas fell sky?	what's matter produce?	think bananas fell sky?	what's matter produce?	think bananas fell sky?
think bananas fell sky?	mean?	think bananas fell sky?	mean?	think bananas fell sky?	mean?
mean?	mean, dirty hands pick bananas, apples, oranges.	mean?	mean, dirty hands pick bananas, apples, oranges.	mean?	mean, dirty hands pick bananas, apples, oranges.
mean, dirty hands pick bananas, apples, oranges.	well, better save wipe dirty dollar bills you're going pay with.	mean, dirty hands pick bananas, apples, oranges.	well, better save wipe dirty dollar bills you're going pay with.	mean, dirty hands pick bananas, apples, oranges.	well, better save wipe dirty dollar bills you're going pay with.
99 cents store?	yes, did.	99 cents store?	yes, did.	99 cents store?	yes, did.
yes, did.	buy?	yes, did.	buy?	yes, did.	buy?
buy?	well, got lot good deals, usual.	buy?	well, got lot good deals, usual.	buy?	well, got lot good deals, usual.
well, got lot good deals, usual.	like what?	well, got lot good deals, usual.	like what?	well, got lot good deals, usual.	like what?
like what?	well, dozen large eggs 99 cents.	like what?	well, dozen large eggs 99 cents.	like what?	well, dozen large eggs 99 cents.
well, dozen large eggs 99 cents.	that's good deal.	well, dozen large eggs 99 cents.	that's good deal.	well, dozen large eggs 99 cents.	that's good deal.
that's good deal.	one-pound tub soft butter price.	that's good deal.	one-pound tub soft butter price.	that's good deal.	one-pound tub soft butter price.
one-pound tub soft butter price.	good deal.	one-pound tub soft butter price.	good deal.	one-pound tub soft butter price.	good deal.
good deal.	best deal pounds potatoes 99 cents.	good deal.	best deal pounds potatoes 99 cents.	good deal.	best deal pounds potatoes 99 cents.
best deal pounds potatoes 99 cents.	don't know store makes money.	best deal pounds potatoes 99 cents.	don't know store makes money.	best deal pounds potatoes 99 cents.	don't know store makes money.
don't know store makes money.	i, they're right.	don't know store makes money.	i, they're right.	don't know store makes money.	i, they're right.
need new computer.	what's matter yours?	need new computer.	what's matter yours?	need new computer.	what's matter yours?
what's matter yours?	it's years old.	what's matter yours?	it's years old.	what's matter yours?	it's years old.
it's years old.	that's pretty old.	it's years old.	that's pretty old.	it's years old.	that's pretty old.
that's pretty old.	works, i'm going charity.	that's pretty old.	works, i'm going charity.	that's pretty old.	works, i'm going charity.
works, i'm going charity.	going buy desktop laptop?	works, i'm going charity.	going buy desktop laptop?	works, i'm going charity.	going buy desktop laptop?
going buy desktop laptop?	oh, laptop, course.	going buy desktop laptop?	oh, laptop, course.	going buy desktop laptop?	oh, laptop, course.
oh, laptop, course.	pc mac?	oh, laptop, course.	pc mac?	oh, laptop, course.	pc mac?
pc mac?	haven't decided yet.	pc mac?	haven't decided yet.	pc mac?	haven't decided yet.
haven't decided yet.	people macs.	haven't decided yet.	people macs.	haven't decided yet.	people macs.
people macs.	90 percent world uses pcs.	people macs.	90 percent world uses pcs.	people macs.	90 percent world uses pcs.
90 percent world uses pcs.	that's going change anytime soon.	90 percent world uses pcs.	that's going change anytime soon.	90 percent world uses pcs.	that's going change anytime soon.
got ripped off.	happened?	got ripped off.	happened?	got ripped off.	happened?
happened?	car problem, went online.	happened?	car problem, went online.	happened?	car problem, went online.
car problem, went online.	find solution?	car problem, went online.	find solution?	car problem, went online.	find solution?
find solution?	yes, did. site went said send solution.	find solution?	yes, did. site went said send solution.	find solution?	yes, did. site went said send solution.
yes, did. site went said send solution.	so, what's problem?	yes, did. site went said send solution.	so, what's problem?	yes, did. site went said send solution.	so, what's problem?
so, what's problem?	sent $20 credit card, sent solution.	so, what's problem?	sent $20 credit card, sent solution.	so, what's problem?	sent $20 credit card, sent solution.
sent $20 credit card, sent solution.	going do?	sent $20 credit card, sent solution.	going do?	sent $20 credit card, sent solution.	going do?
going do?	sent email asking money back.	going do?	sent email asking money back.	going do?	sent email asking money back.
sent email asking money back.	heard them?	sent email asking money back.	heard them?	sent email asking money back.	heard them?
heard them?	yet. it's week.	heard them?	yet. it's week.	heard them?	yet. it's week.
yet. it's week.	well, guess that's $20 lesson you.	yet. it's week.	well, guess that's $20 lesson you.	yet. it's week.	well, guess that's $20 lesson you.
where's pencil sharpener?	one?	where's pencil sharpener?	one?	where's pencil sharpener?	one?
one?	one. need sharpen pencil.	one?	one. need sharpen pencil.	one?	one. need sharpen pencil.
one. need sharpen pencil.	think there's dining room table.	one. need sharpen pencil.	think there's dining room table.	one. need sharpen pencil.	think there's dining room table.
think there's dining room table.	looked there.	think there's dining room table.	looked there.	think there's dining room table.	looked there.
looked there.	look desk drawer?	looked there.	look desk drawer?	looked there.	look desk drawer?
look desk drawer?	yes, looked there, too.	look desk drawer?	yes, looked there, too.	look desk drawer?	yes, looked there, too.
yes, looked there, too.	don't sharpeners?	yes, looked there, too.	don't sharpeners?	yes, looked there, too.	don't sharpeners?
don't sharpeners?	yes, legs.	don't sharpeners?	yes, legs.	don't sharpeners?	yes, legs.
yes, legs.	tomorrow i'm going buy electric sharpener.	yes, legs.	tomorrow i'm going buy electric sharpener.	yes, legs.	tomorrow i'm going buy electric sharpener.
tomorrow i'm going buy electric sharpener.	rubber suction cups bottom.	tomorrow i'm going buy electric sharpener.	rubber suction cups bottom.	tomorrow i'm going buy electric sharpener.	rubber suction cups bottom.
rubber suction cups bottom.	yes. way stay it.	rubber suction cups bottom.	yes. way stay it.	rubber suction cups bottom.	yes. way stay it.
i'm trying stretch dollars.	that?	i'm trying stretch dollars.	that?	i'm trying stretch dollars.	that?
that?	started shopping dollar store.	that?	started shopping dollar store.	that?	started shopping dollar store.
started shopping dollar store.	saves lot money.	started shopping dollar store.	saves lot money.	started shopping dollar store.	saves lot money.
saves lot money.	bought pounds potatoes dollar.	saves lot money.	bought pounds potatoes dollar.	saves lot money.	bought pounds potatoes dollar.
bought pounds potatoes dollar.	that's good deal.	bought pounds potatoes dollar.	that's good deal.	bought pounds potatoes dollar.	that's good deal.
that's good deal.	yes, potatoes eyes.	that's good deal.	yes, potatoes eyes.	that's good deal.	yes, potatoes eyes.
yes, potatoes eyes.	fridge.	yes, potatoes eyes.	fridge.	yes, potatoes eyes.	fridge.
